word,sentiment
amateur,negative
amativo,positive
amatorio,positive
amaña,negative
amañas,negative
amaño,negative
amaños,negative
ambicion,positive
ambiciosamente,positive
ambicioso,positive
ambiciosos,positive
ambición,positive
ambigua,negative
ambiguas,negative
ambiguedad,negative
ambiguo,negative
ambiguos,negative
ambigüedad,negative
ambivalencia,negative
ambivalente,negative
amedentrar,negative
amedrentador,negative
amedrentamiento,negative
amenamente,positive
amenaza,negative
amenazador,negative
amenazadoramente,negative
amenazante,negative
amenazar,negative
amenazas,negative
amencia,negative
amenidad,positive
ameno,positive
amenorrea,negative
amiga,positive
amigabilidad,positive
amigable,positive
amigablemente,positive
amigables,positive
amigas,positive
amigo,positive
amigos,positive
amiguismo,negative
amilanar,negative
amiloidosis,negative
amistad,positive
amistades,positive
amistosa,positive
amistosamente,positive
amistosas,positive
amistosidad,negative
amistoso,positive
amistosos,positive
amnistía,positive
amo,positive
amohinar,negative
amonestacion,negative
amonestación,negative
amonestada,negative
amonestadas,negative
amonestado,negative
amonestador,negative
amonestados,negative
amonestar,negative
amor,positive
amor propio,positive
amoral,negative
amores,positive
amorfo,negative
amorosa,positive
amorosamente,positive
amorosas,positive
amorosidad,positive
amoroso,positive
amorosos,positive
amortiguado,negative
amoscamiento,negative
amovible,positive
amphibolips,negative
amplia,positive
ampliamente,positive
ampliar,positive
amplias,positive
amplio,positive
amplios,positive
ampolla,negative
ampollar,negative
ampollarse,negative
ampuloso,negative
amputar,negative
amuleto,positive
amurriar,negative
anaerobio,negative
anafrodisiaco,positive
analfabeta,negative
analfabetas,negative
analfabeto,negative
analfabetos,negative
analgesia,negative
analgia,negative
analizable,positive
anarquia,negative
anarquismo,negative
anarquista,negative
anarquía,negative
anasarcoso,negative
andanada,negative
andrajosa,negative
andrajosas,negative
andrajoso,negative
andrajosos,negative
androginia,positive
anemica,negative
anemicas,negative
anemico,negative
anemicos,negative
aneroide,negative
anestesico,negative
angel,positive
angeles,positive
angelical,positive
angelicales,positive
angelico,positive
angina,negative
anginas,negative
angustia,negative
angustiada,negative
angustiadamente,negative
angustiadas,negative
angustiado,negative
angustiados,negative
angustiar,negative
angustiosa,negative
angustiosamente,negative
angustiosas,negative
angustioso,negative
angustiosos,negative
angélico,positive
anhelo,positive
animacion,positive
animación,positive
animada,positive
animadas,positive
animado,positive
animados,positive
animadversion,negative
animadversión,negative
animadversión ,negative
animal,negative
animar,positive
animarse,positive
animo,positive
animos,positive
animosidad,negative
animosidad ,negative
animoso,positive
aniquilacion,negative
aniquilación,negative
aniquilamiento,negative
aniquilar,negative
aniquilar ,negative
anisotropico,negative
aniñada,negative
aniñadas,negative
aniñado,negative
aniñados,negative
anomala,negative
anomalas,negative
anomalia,negative
anomalo,negative
anomalos,negative
anomalía,negative
anonadada,negative
anonadadas,negative
anonadado,negative
anonadados,negative
anonadamiento,positive
anonadar,positive
anormal,negative
anosmia,negative
anoxia,negative
ansia,negative
ansiedad,negative
ansiedades,negative
ansiosamente,negative
ansioso,positive
antagonica,negative
antagonicas,negative
antagonico,negative
antagonicos,negative
antagonismo,negative
antagonista,negative
antagónico,negative
antediluviano,negative
antiamericano,negative
anticipar,positive
anticuada,negative
anticuadas,negative
anticuado,negative
anticuados,negative
antidemocratico,negative
antieconomico,negative
antieconómico,negative
antiestetico,negative
antiguo,negative
antihelmintico,positive
antihigiene,negative
antihigiénico,negative
antiisraeli,negative
antimicrobiano,positive
antinatural,negative
antinaturalmente,negative
antiocupacion,negative
antipatia,negative
antipatica,negative
antipaticas,negative
antipatico,negative
antipaticos,negative
antipatía,negative
antipatía ,negative
antipoda,positive
antipático,negative
antisemitas,negative
antisemitico,negative
antisocial,negative
antitetica,negative
antiteticas,negative
antitetico,negative
antiteticos,negative
antitético,negative
antojadizo,negative
antro,negative
anudada,negative
anudadas,negative
anudado,negative
anudados,negative
anular,negative
anuro,negative
anémico,negative
anómalo,negative
apabullar,negative
apabullar ,negative
apacible,positive
apaciguable,positive
apaciguar,positive
apagado,negative
apagador,negative
apalear,negative
aparentar,negative
apariencia,positive
apasionada,positive
apasionadamente,positive
apasionadas,positive
apasionado,positive
apasionados,positive
apasionamiento,positive
apasionante,positive
apasionantemente,positive
apatia,negative
apatica,negative
apaticamente,negative
apaticas,negative
apatico,negative
apaticos,negative
apatía,negative
apego,positive
apelar,positive
apenado,negative
apenar,negative
apenas,negative
apendicitis,negative
apesadumbrado,negative
apesadumbrar,negative
apesta,negative
apestar,negative
apestoso,negative
apetecer,positive
apetitoso,positive
apiadarse,negative
apiñarse,negative
aplacable,positive
aplacar,positive
aplanar ,negative
aplastada,negative
aplastadas,negative
aplastado,negative
aplastados,negative
aplastante,negative
aplastar,negative
aplaudir,positive
aplauso,positive
aplicado,positive
apocada,negative
apocadas,negative
apocado,negative
apocados,negative
apocalipsis,negative
apocaliptica,negative
apocalipticas,negative
apocaliptico,negative
apocalipticos,negative
apocalíptico,negative
apocamiento,negative
apocar,negative
apoderarse,negative
apogeo,positive
apologista,negative
apologistas,negative
apostar por,positive
apoteosis,positive
apoteósico,positive
apoya,positive
apoyada,positive
apoyadas,positive
apoyado,positive
apoyados,positive
apoyar,positive
apoyarse,positive
apoyo,positive
apractico,negative
apraxia,negative
apraxico,negative
aprecia,positive
apreciable,positive
apreciacion,negative
apreciación,positive
apreciada,positive
apreciadas,positive
apreciado,positive
apreciados,positive
apreciar,positive
apreciar mucho,positive
aprecias,positive
apreciativa,positive
apreciativamente,positive
apreciativas,positive
apreciativo,positive
apreciativos,positive
aprecio,positive
aprecios,positive
aprehensiones,negative
apremiante,negative
aprension,negative
aprensiva,negative
aprensivamente,negative
aprensivas,negative
aprensivo,negative
aprensivos,negative
aprensión,negative
aprensión ,negative
apresurada,negative
apresuradas,negative
apresurado,negative
apresurados,negative
apretar,negative
apretura,negative
aprieto,negative
aprobacion,positive
aprobaciones,positive
aprobación,positive
aprobada,positive
aprobadas,positive
aprobado,positive
aprobados,positive
aprobar,positive
aprobatorio,positive
apropiada,positive
apropiadamente,positive
apropiado,positive
aprovechar,positive
aproximado,negative
aptitud,positive
aptitudes,positive
apto,positive
apuesta segura,positive
apuesto,positive
apuro,negative
apuñalar,negative
apáticamente,negative
apático,negative
aquejar,negative
aquietar,positive
arable,positive
aranazo,negative
araña,negative
araña ,negative
arañazos,negative
arbitraria,negative
arbitrarias,negative
arbitrario,negative
arbitrarios,negative
arcaica,negative
arcaicas,negative
arcaico,negative
arcaicos,negative
arcana,negative
arcanas,negative
arcangel,positive
arcano,negative
arcanos,negative
archiconocida,positive
archiconocido,positive
ardentia,negative
arder,negative
ardid,negative
ardiente,positive
ardientemente,positive
ardientes,positive
ardor,positive
ardores,negative
ardua,negative
arduamente,negative
arduas,negative
arduo,negative
arduos,negative
arenga,negative
arenosa,negative
arenosas,negative
arenoso,negative
arenosos,negative
arisco,negative
aristocrático,positive
armarla,negative
armonia,positive
armoniosa,positive
armoniosamente,positive
armonioso,positive
armonizar,positive
armonizare,positive
armonía,positive
arpia,negative
arpía,negative
arrancar,negative
arranque,positive
arrapiezo,negative
arrarray,negative
arrastrada,negative
arrastradamente,negative
arrastradas,negative
arrastrado,negative
arrastrados,negative
arrastrando,negative
arrastrar,negative
arrastrarse,negative
